Date,Close,High,Low,Open,Volume
2022/1/3,325.6347961,328.796299,320.8001275,326.2184641,28865100
2022/1/4,320.0511169,326.0725666,317.239797,325.7126167,32674300
2022/1/5,307.7649841,317.191128,307.3758821,316.9868249,40054300
2022/1/6,305.3330994,310.0218586,303.0081645,304.6229665,39646100
2022/1/7,305.4887085,307.8817145,301.646255,305.5956989,32720000
2022/1/10,305.7123718,306.1501301,296.3932497,301.0625331,44289500
2022/1/11,306.4031067,307.9886969,301.4517109,304.8466687,29386800
2022/1/12,309.6035461,314.603599,308.4459473,310.9654481,34372200
2022/1/13,296.5003052,312.1424645,295.722101,311.7436252,45366000
2022/1/14,301.7533264,302.3564392,295.4789468,295.9653319,39846400
2022/1/18,294.408844,301.3641438,293.5236197,295.7901905,42333200
2022/1/19,295.070343,305.3622674,294.4575228,297.9497639,45933900
2022/1/20,293.3873901,303.1637152,292.9399243,300.653982,35380700
2022/1/21,287.9691772,295.8291478,287.5606007,294.4478307,57984400
2022/1/24,288.2998352,289.0196755,268.533142,284.243401,85731500
2022/1/25,280.6343994,286.9574042,277.4048257,283.5818912,72848600
2022/1/26,288.6305847,300.0995516,285.0507982,299.6034294,90428900
2022/1/27,291.6753845,298.9322412,289.8173901,294.4186033,53481300
2022/1/28,299.8661499,300.0801605,286.4321959,292.0548064,49743700
2022/1/31,302.5120239,303.873896,298.0275388,300.537302,46444500
2022/2/1,300.352478,302.1715532,296.8213181,301.9575426,40950400
2022/2/2,304.92453,306.5393321,300.4692557,301.1988333,36636000
2022/2/3,293.0469971,302.7552535,291.7921153,301.0626133,43730000
2022/2/4,297.609314,300.3914225,291.8018747,292.0353301,35096500
2022/2/7,292.755188,299.4575589,291.7337615,297.8330493,28533300
2022/2/8,296.2668762,297.2396464,291.7824201,293.0470094,32421200
2022/2/9,302.7357483,303.4361439,299.0197894,301.43224,31284700
2022/2/10,294.1462402,300.7027015,292.5119935,295.7610422,45386200
2022/2/11,287.0061035,296.0042271,286.2084249,294.934174,39175600
2022/2/14,286.9671631,288.6792479,283.4165584,285.7706452,36359500
2022/2/15,292.288208,292.6092091,288.9321396,291.8407421,27058300
2022/2/16,291.9470825,293.2825285,286.2738466,290.8455746,29982100
2022/2/17,283.3982239,289.3151247,282.6866227,288.8862185,32461600
2022/2/18,280.6688538,286.4493014,279.0897124,285.6597307,34264000
2022/2/22,280.4641113,284.1877835,277.325314,277.8127047,41736100
2022/2/23,273.2020569,284.3438343,273.0363607,282.8621471,37811200
2022/2/24,287.1608276,287.7164601,264.6726153,265.637669,56989700
2022/2/25,289.8123169,290.1242541,284.2950494,287.6970575,32546700
2022/2/28,291.2550049,291.5961844,285.611011,286.8879726,34627500
2022/3/1,287.5118408,292.4052337,284.7824345,288.9252563,31217800
2022/3/2,292.6196594,293.8673785,286.293337,287.9114481,31873000
2022/3/3,288.4573669,295.4855335,286.6345005,295.2515955,27314500
2022/3/4,282.5501404,288.2038907,279.9280056,286.8684449,32356500
2022/3/7,271.8763428,282.3844874,271.505921,281.2537371,43157200
2022/3/8,268.8934631,276.7989262,263.1909858,270.7942691,48159500
